euclidean    0.4688    0.4813    0.4750    0.4688    0.4875    0.4938    0.5000    0.5000    0.5125    0.4813    0.4813    0.4875    0.4813    0.5000    0.4875    0.5062    0.5000    0.5125    0.4875    0.4938    0.5250    0.5000    0.5125    0.4938    0.4938    0.4875    0.4875    0.4938    0.4938    0.5000
cityblock    0.5188    0.5062    0.5250    0.5625    0.5563    0.5500    0.5813    0.5500    0.5563    0.5875    0.5750    0.5687    0.5687    0.5813    0.5437    0.5563    0.5625    0.5437    0.5563    0.5687    0.5312    0.5500    0.5437    0.5250    0.5188    0.5312    0.5250    0.5437    0.5563    0.5375
cosine       0.4625    0.4688    0.4813    0.4625    0.5062    0.5312    0.5250    0.5000    0.4938    0.5250    0.5000    0.5062    0.5062    0.5125    0.5062    0.5000    0.5062    0.5000    0.4938    0.5000    0.5062    0.5188    0.5125    0.5188    0.5250    0.5125    0.5125    0.5312    0.5437    0.5375
spearman     0.5625    0.5125    0.5625    0.5625    0.5687    0.5938    0.6062    0.6062    0.6000    0.5875    0.5938    0.6062    0.5938    0.5875    0.5938    0.5938    0.5813    0.5938    0.6125    0.6125    0.6000    0.6062    0.5938    0.5938    0.5938    0.5875    0.6000    0.5938    0.5875    0.5875
